rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
2,11,0,3,2,58,0,2,6,34,2,3,0,,6,2,38,2,2,3,24,7-15,2-2,405,271,27-36,7.5,134,35,3.8,7-74,1,0,1,30:56,Iowa State,home,42,400934488,2017,1,regular
0,,,,1,60,0,3,4,,,,0,1,7,0,57,2,1,1,19,6-15,1-2,301,220,23-36,6.1,81,36,2.3,5-55,3,1,2,27:21,Eastern Washington,away,10,400934496,2017,1,regular
3,4,0,2,4,,,,8,35,1,2,1,2,7,1,42,1,0,4,32,5-10,0-2,626,449,31-35,12.8,177,40,4.4,11-120,0,0,0,32:39,Texas Tech,home,56,400934496,2017,1,regular
0,79,0,3,2,37,0,3,4,18,0,2,1,1,6,0,42,1,2,3,13,6-20,1-4,253,170,25-43,4.0,83,34,2.4,6-52,1,1,0,34:51,Southeast Missouri State,away,16,400934490,2017,1,regular
1,28,0,4,4,64,0,4,8,,,,1,2,7,0,54,1,5,7,17,6-15,1-1,437,364,23-37,9.8,73,25,2.9,5-49,3,1,2,25:09,Kansas,home,38,400934490,2017,1,regular
0,,,,0,72,0,5,,25,0,1,0,2,3,0,33,0,0,1,7,1-14,0-1,65,41,7-14,2.9,24,42,0.6,3-10,2,1,1,33:17,Jackson State,away,0,400934494,2017,1,regular
1,17,0,2,6,12,0,1,9,53,1,1,0,1,15,1,27,5,1,1,24,7-11,0-2,542,300,23-30,10.0,242,36,6.7,5-51,1,0,1,26:43,TCU,home,63,400934494,2017,1,regular
4,4,0,1,2,20,0,1,5,0,0,1,0,3,2,0,52,1,0,3,21,8-16,0-0,492,353,24-35,10.1,139,39,3.6,4-30,2,1,1,38:16,Missouri State,away,43,400933836,2017,1,regular
3,10,0,1,7,157,0,7,12,-5,0,1,0,2,12,0,44,4,2,2,35,8-12,0-1,815,521,21-34,15.3,294,41,7.2,6-52,2,1,1,21:44,Missouri,home,72,400933836,2017,1,regular
2,-1,0,1,4,115,0,6,9,,,,0,3,8,0,61,6,0,12,28,6-16,2-3,554,491,35-59,8.3,63,25,2.5,7-56,3,3,0,23:38,UCLA,home,45,400933838,2017,1,regular
