team_id,record_string
Western Kentucky 2019,9-4
LSU 2019,15-0
Boston College 2019,6-7
UMass 2019,1-11
Maryland 2019,3-9
Michigan State 2019,7-6
Michigan 2019,9-4
Minnesota 2019,11-2
Missouri 2019,6-6
Ole Miss 2019,4-8
Duke 2019,5-7
East Carolina 2019,4-8
NC State 2019,4-8
North Carolina 2019,7-6
Wake Forest 2019,8-5
Nebraska 2019,5-7
Rutgers 2019,2-10
New Mexico State 2019,2-10
New Mexico 2019,2-10
Syracuse 2019,5-7
Bowling Green 2019,3-9
Miami (OH) 2019,8-6
Ohio State 2019,13-1
Ohio 2019,7-6
Oklahoma State 2019,8-5
Oklahoma 2019,12-2
Tulsa 2019,4-8
Oregon State 2019,5-7
Penn State 2019,11-2
Temple 2019,8-5
Pittsburgh 2019,8-5
Clemson 2019,14-1
Memphis 2019,12-2
Vanderbilt 2019,3-9
Baylor 2019,11-3
Rice 2019,3-9
Texas A&M 2019,8-5
Houston 2019,4-8
North Texas 2019,4-8
Texas 2019,8-5
BYU 2019,7-6
Utah 2019,11-3
Virginia 2019,9-5
Virginia Tech 2019,8-5
Washington 2019,8-5
Washington State 2019,6-7
Wisconsin 2019,10-4
Marshall 2019,8-5
West Virginia 2019,5-7
Fresno State 2019,4-8
Georgia Southern 2019,7-6
Old Dominion 2019,1-11
Louisiana 2019,11-3
Coastal Carolina 2019,5-7
Texas State 2019,3-9
Utah State 2019,7-6
Alabama 2019,11-2
Mississippi State 2019,6-7
Army 2019,5-8
Illinois 2019,6-7
Air Force 2019,11-2
Akron 2019,0-12
Appalachian State 2019,13-1
Arkansas State 2019,8-5
Ball State 2019,5-7
Buffalo 2019,8-5
UCF 2019,10-3
Central Michigan 2019,8-6
Cincinnati 2019,11-3
Eastern Michigan 2019,6-7
Florida Atlantic 2019,11-3
Florida International 2019,6-7
Georgia State 2019,7-6
Iowa 2019,10-3
Kansas 2019,3-9
Kansas State 2019,8-5
Kent State 2019,7-6
Liberty 2019,8-5
Louisiana Tech 2019,10-3
Miami 2019,6-7
Middle Tennessee 2019,4-8
Navy 2019,11-2
Charlotte 2019,7-6
Louisiana Monroe 2019,5-7
UNLV 2019,4-8
Nevada 2019,7-6
Northern Illinois 2019,5-7
Oregon 2019,12-2
Purdue 2019,4-8
SMU 2019,10-3
Southern Mississippi 2019,7-6
South Carolina 2019,4-8
TCU 2019,5-7
Tennessee 2019,8-5
UT San Antonio 2019,4-8
UTEP 2019,1-11
Texas Tech 2019,4-8
Toledo 2019,6-6
Troy 2019,5-7
Tulane 2019,7-6
Western Michigan 2019,7-6
Wyoming 2019,8-5
Auburn 2020,6-5
UAB 2020,6-3
South Alabama 2020,4-7
Arkansas 2020,3-7
Arizona State 2020,2-2
Arizona 2020,0-5
San Diego State 2020,4-4
San José State 2020,7-1
Stanford 2020,4-2
California 2020,1-3
UCLA 2020,3-4
USC 2020,5-1
Colorado State 2020,1-3
Colorado 2020,4-2
Florida State 2020,3-6
Florida 2020,8-4
South Florida 2020,1-8
Georgia Tech 2020,3-7
Georgia 2020,8-2
Hawai'i 2020,5-4
Iowa State 2020,9-3
Boise State 2020,5-2
Northwestern 2020,7-2
Indiana 2020,6-2
Notre Dame 2020,10-2
Kentucky 2020,5-6
Louisville 2020,4-7
Western Kentucky 2020,5-7
LSU 2020,5-5
Boston College 2020,6-5
UMass 2020,0-4
Maryland 2020,2-3
Michigan State 2020,2-5
Michigan 2020,2-4
Minnesota 2020,3-4
Missouri 2020,5-5
Ole Miss 2020,5-5
Duke 2020,2-9
East Carolina 2020,3-6
NC State 2020,8-4
North Carolina 2020,8-4
Wake Forest 2020,4-5
Nebraska 2020,3-5
Rutgers 2020,3-6
New Mexico State 2020,1-1
New Mexico 2020,2-5
Syracuse 2020,1-10
Bowling Green 2020,0-5
Miami (OH) 2020,2-1
Ohio State 2020,7-1
Ohio 2020,2-1
Oklahoma State 2020,8-3
Oklahoma 2020,9-2
Tulsa 2020,6-3
Oregon State 2020,2-5
Penn State 2020,4-5
Temple 2020,1-6
Pittsburgh 2020,6-5
Clemson 2020,10-2
Memphis 2020,8-3
Vanderbilt 2020,0-9
Baylor 2020,2-7
Rice 2020,2-3
Texas A&M 2020,9-1
Houston 2020,3-5
North Texas 2020,4-6
Texas 2020,7-3
BYU 2020,11-1
