team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt
New Mexico State 2014,-0.6186087832353956,0.30772637376151324,0.23067168660172638,0.16722746560120025,0.9044876739628274,0.8686058057412951,-0.13479504982293533,0.18730656273786753,0.12714971389919627,-0.24934334510466635,3.237878763890178,3.636163395595871,0.3067081703297207,-0.4809367847470799,0.016228458725868956,0.3536414841133612,0.2632746225161105,-0.8756232955777171
New Mexico State 2015,-0.03353439578620212,0.5076184159428307,-0.2600748694529783,0.35843591244269296,0.9166404358919131,0.2408380015129091,0.749736841036457,0.21087138602490996,-0.23566439662853442,-0.6269739521111144,0.6328214657504082,1.0160091477946405,-0.7617890016877218,-0.653293964636536,-0.07083006778167508,-1.148238269002519,0.6393923547806949,-0.6239986420580982
New Mexico State 2016,-0.5708476087497477,0.2071095740058162,0.46161124239217527,0.2040527961040066,0.9895570074664195,0.4444383704518447,0.24429004625966141,0.017303194738488185,-0.09612050796402179,-1.0046045591175625,0.8332104886842365,1.2780245725747634,-1.080677134606635,-0.6266319310168851,-0.11071911534186066,-0.801154906882437,0.1871617986271575,-0.9121166975016032
New Mexico State 2017,0.07025431030761149,0.7263954574629103,0.5104638407324616,1.8425621021149514,2.602135032671848,2.3695059613808844,0.8469381477243026,-1.2783736548957731,-1.8189508257066391,-0.549511263494407,1.788911982676342,2.6687218271769546,0.6610622932189019,-2.2443012602774246,-1.6960325428967955,0.4314260380539924,-0.6123594141028738,-0.44579971244295336
New Mexico State 2018,-0.5111461406426864,-0.5736767920983926,-0.14460509155775203,0.4859082103370215,1.937472437935002,1.1909730565612762,-0.5138801459055321,-1.2972773043458186,-1.491559394609132,-0.8787276901154129,1.4343775574857216,1.5400399973548862,-0.6345544286893141,-1.7914102253344675,-1.2373817938628144,-0.7672527919467431,-0.9751239644031152,-1.4041386113765013
New Mexico State 2019,-1.0245787663634076,-0.6555117892330269,-0.6353516476124556,-0.24068388766065088,0.831571102388321,0.8686058057412951,-0.6402418445997309,-0.5364701525070134,-1.0310645620162462,-0.6269739521111144,1.8351556033533793,1.2780245725747634,-1.347701014023439,-1.0079989286691742,-0.24578612067592434,0.5032976244056618,0.10409720913717195,-1.3715565688480436
New Mexico State 2021,-0.8932355365278751,-0.507940482924671,0.3750089089707571,0.6445404032721864,1.7065699612823972,1.1740063591496985,-0.6402418445997309,-1.4033190091375105,-1.254334783879464,-0.7528508211132636,-0.3691236489187345,-0.03205255132585165,-0.37606962033402214,-1.558207943300084,-1.3962718174031037,-0.4352447888149159,-1.3945741918290375,-1.0233178573427697
New Mexico State 2022,-0.48083616452679434,-1.1435290672275815,-1.4614046740936746,-1.0638062898757372,-1.167090821025711,-1.3579469468857832,-0.43611910055525577,-0.17056800630271415,-0.5694963148951713,0.14765293405595914,-0.2458073271133015,0.49197829823439426,-0.14283716787444645,0.5540167082983345,0.5884929606249096,-1.3417236603735594,0.31235691392605874,-0.16989931551601523
New Mexico State 2023,-0.19353433031312414,0.16954596876368871,-0.12728462487346937,-0.30611966724640655,-0.7677323674791837,-0.6583969613007223,0.29483472573734115,0.5764627873067426,-0.5454518294637468,-0.4255709617076755,-1.1706797406540483,-0.5560834008860979,0.603627335560895,0.2538155037889075,0.5248581085286631,0.04471412001610008,1.6069940523126915,0.6703934236003304
North Carolina 2014,0.6323665946387059,0.4502410409026592,1.0700481489939335,0.7861762898214399,1.12136773300495,1.085257480381444,0.8469381477243026,-0.3694447566812716,-0.02849539268814345,0.38004099990608053,0.6790650864274453,0.49197829823439426,0.4542433470759696,-0.6636206984643187,-0.6508421517580385,0.42266706757364275,-0.5000289710290282,-0.26708990109923
North Carolina 2015,1.704631204245079,1.3704314302288265,1.0719514969812167,0.5227335408398278,-0.32814960741573085,-0.052443482315794904,0.821943526004571,1.0981591199962093,-0.11406186507802983,1.674774509642474,-0.3118696423662118,-0.40636030101174175,1.518604265031061,0.14526403420126113,0.33508714952742946,0.771412128275973,1.980170457390428,1.4039964237429485
North Carolina 2016,0.5001048806784479,0.5988443143879963,0.29728886615666383,1.0437357019771596,0.5492530944972853,1.0539343466985318,0.9635797157497166,-0.4890815518308728,-1.252187954823086,-0.20092916471922412,-0.6157562925296001,-1.2010444464987085,0.9864238060535168,-0.9744854773133286,-0.8422145406123245,1.5901174941976401,0.4378854706513148,0.8150627954166668
North Carolina 2017,-0.40368349804997733,-0.5186729415652789,-0.4332795362958147,-0.10754615430435256,0.35761338715403074,-0.09849594671864904,-0.008433351128736189,-0.523004539200132,-0.4589346184917501,-0.5010970831089648,0.8332104886842365,1.5400399973548862,-1.674478488834213,-0.4487997899118732,-0.3129045643617957,-0.9494830152232424,-0.4079075071028208,-0.6695447923452493
North Carolina 2018,-0.20829687515414258,0.6617755491442863,0.15194229258225675,0.30873459225359146,0.9000684878067976,0.6495811664281973,-0.6057795631376767,0.4633516355289381,-0.29782485612454207,-0.03191966228277186,1.4525947413887974,1.3494833247875242,-0.9332271352583461,-0.6739238639530996,0.104982311637966,-0.1543873570540615,1.1290057795731885,-0.674947760925731
North Carolina 2019,0.6103229756453298,1.1622983930198996,1.1766356362818324,0.9195319245416609,0.24636887411087388,0.30217913830861476,2.013353827978446,0.3654669849519919,0.3836957861362581,-1.1304814281197118,-1.3556542233621973,-0.9591840543939795,0.26756224366499776,0.0002427295549011806,-0.25005079722758167,0.35011339391868307,0.31838477674875426,1.0817519702192009
