id,school,season,team_id
2393,Middle Tennessee,2018,Middle Tennessee 2018
135,Minnesota,2018,Minnesota 2018
344,Mississippi State,2018,Mississippi State 2018
142,Missouri,2018,Missouri 2018
2426,Navy,2018,Navy 2018
152,NC State,2018,NC State 2018
158,Nebraska,2018,Nebraska 2018
2440,Nevada,2018,Nevada 2018
167,New Mexico,2018,New Mexico 2018
166,New Mexico State,2018,New Mexico State 2018
153,North Carolina,2018,North Carolina 2018
2459,Northern Illinois,2018,Northern Illinois 2018
249,North Texas,2018,North Texas 2018
77,Northwestern,2018,Northwestern 2018
87,Notre Dame,2018,Notre Dame 2018
195,Ohio,2018,Ohio 2018
194,Ohio State,2018,Ohio State 2018
201,Oklahoma,2018,Oklahoma 2018
197,Oklahoma State,2018,Oklahoma State 2018
295,Old Dominion,2018,Old Dominion 2018
145,Ole Miss,2018,Ole Miss 2018
2483,Oregon,2018,Oregon 2018
204,Oregon State,2018,Oregon State 2018
213,Penn State,2018,Penn State 2018
221,Pittsburgh,2018,Pittsburgh 2018
2509,Purdue,2018,Purdue 2018
242,Rice,2018,Rice 2018
164,Rutgers,2018,Rutgers 2018
21,San Diego State,2018,San Diego State 2018
23,San José State,2018,San José State 2018
2567,SMU,2018,SMU 2018
6,South Alabama,2018,South Alabama 2018
2579,South Carolina,2018,South Carolina 2018
2572,Southern Mississippi,2018,Southern Mississippi 2018
58,South Florida,2018,South Florida 2018
24,Stanford,2018,Stanford 2018
183,Syracuse,2018,Syracuse 2018
2628,TCU,2018,TCU 2018
218,Temple,2018,Temple 2018
2633,Tennessee,2018,Tennessee 2018
251,Texas,2018,Texas 2018
245,Texas A&M,2018,Texas A&M 2018
326,Texas State,2018,Texas State 2018
2641,Texas Tech,2018,Texas Tech 2018
2649,Toledo,2018,Toledo 2018
2653,Troy,2018,Troy 2018
2655,Tulane,2018,Tulane 2018
202,Tulsa,2018,Tulsa 2018
5,UAB,2018,UAB 2018
2116,UCF,2018,UCF 2018
26,UCLA,2018,UCLA 2018
113,UMass,2018,UMass 2018
2439,UNLV,2018,UNLV 2018
